CATALOG_KEY,LENGUA_INDIGENA
0943,AGUACATECO (AWAKATEKO)
0481,AMUZGO
0482,AMUZGO DE GUERRERO
0483,AMUZGO DE OAXACA
0824,AYAPANECO
0972,CAKCHIQUEL (KAQCHIKEL)
0441,CHATINO
0321,CHICHIMECA JONAZ
0200,CHINANTECO
0241,CHINANTECO DE LALANA
0242,CHINANTECO DE LATANI
0211,CHINANTECO DE OJITLÁN
0231,CHINANTECO DE PALANTLA
0243,CHINANTECO DE PETLAPA
0221,CHINANTECO DE QUIOTEPEC
0223,CHINANTECO DE SOCHIAPAN
0212,CHINANTECO DE USILA
0232,CHINANTECO DE VALLE NACIONAL
0222,CHINANTECO DE YOLOX
0492,CHOCHO (CHOCHOLTECO)
0931,CHOL (CH´OL)
1311,CHONTAL
0131,CHONTAL DE OAXACA
0932,CHONTAL DE TABASCO
0936,CHUJ
0114,COCHIMÍ
1031,CORA
0113,CUCAPÁ
0461,CUICATECO
1024,GUARIJÍO
0911,HUASTECO
0511,HUAVE
1032,HUICHOL
0493,IXCATECO
0942,IXIL
0962,JACALTECO (JAKALTEKO)
0961,KANJOBAL (Q´ANJOB´AL)
0981,KEKCHI (Q´EQCHI´)
1211,KIKAPÚ (KICKAPOO)
0112,KILIWA
0115,KUMIAI 
0921,LACANDÓN
0941,MAME (MAM)
0341,MATLATZINCA
0922,MAYA
1022,MAYO
0332,MAZAHUA
0491,MAZATECO
0811,MIXE
0450,MIXTECO
0451,MIXTECO DE LA COSTA
0452,MIXTECO DE LA MIXTECA ALTA
0453,MIXTECO DE LA MIXTECA BAJA
0454,MIXTECO DE LA ZONA MAZATECA
0455,MIXTECO DE PUEBLA
0951,MOTOCINTLECO (QATO´K)
1041,NÁHUATL
0342,OCUILTECO (TLAHUICA)
0331,OTOMÍ
0111,PAIPAI
0311,PAME
0442,PAPABUCO
1012,PÁPAGO
1011,PIMA
0494,POPOLOCA
0800,POPOLUCA
0821,POPOLUCA DE LA SIERRA
0812,POPOLUCA DE OLUTA
0822,POPOLUCA DE TEXISTEPEC
1111,PURÉPECHA (TARASCO)
0971,QUICHÉ (K´ICHE´)
0121,SERI
0432,SOLTECO
0456,TACUATE
1021,TARAHUMARA
0712,TEPEHUA
1013,TEPEHUANO
1014,TEPEHUANO DE CHIHUAHUA (TEPEHUANO DEL NORTE)
1015,TEPEHUANO DE DURANGO (TEPEHUANO DEL SUR)
0611,TLAPANECO
0935,TOJOLABAL
0711,TOTONACA (TOTONACO)
0471,TRIQUI
0933,TZELTAL (TSELTAL)
0934,TZOTZIL (TSOTSIL)
1023,YAQUI
0400,ZAPOTECO
0431,ZAPOTECO DE CUIXTLA
0411,ZAPOTECO DE IXTLÁN
0422,ZAPOTECO DEL ISTMO
0413,ZAPOTECO DEL RINCÓN
0433,ZAPOTECO SUREÑO
0421,ZAPOTECO VALLISTA
0412,ZAPOTECO VIJANO
0823,ZOQUE
5000,OTRAS LENGUAS INDÍGENAS DE MÉXICO 
5500,OTRAS LENGUAS INDÍGENAS DE AMÉRICA
7777,SE IGNORA
8888,NO APLICA
9999,NO ESPECIFICADO
